strategy,1000,1001,2000,2001,3000,3001,4000
strategy_1,0,0,0,0,0,0,0
strategy_2,0,0,0,0,0,0,1
strategy_3,0,0,0,0,0,1,0
strategy_4,0,0,0,0,0,1,1
strategy_5,0,0,0,0,1,0,0
strategy_6,0,0,0,0,1,0,1
strategy_7,0,0,0,0,1,1,0
strategy_8,0,0,0,0,1,1,1
strategy_9,0,0,0,1,0,0,0
strategy_10,0,0,0,1,0,0,1
strategy_11,0,0,0,1,0,1,0
strategy_12,0,0,0,1,0,1,1
strategy_13,0,0,0,1,1,0,0
strategy_14,0,0,0,1,1,0,1
strategy_15,0,0,0,1,1,1,0
strategy_16,0,0,0,1,1,1,1
strategy_17,0,0,1,0,0,0,0
strategy_18,0,0,1,0,0,0,1
strategy_19,0,0,1,0,0,1,0
strategy_20,0,0,1,0,0,1,1
strategy_21,0,0,1,0,1,0,0
strategy_22,0,0,1,0,1,0,1
strategy_23,0,0,1,0,1,1,0
strategy_24,0,0,1,0,1,1,1
strategy_25,0,0,1,1,0,0,0
strategy_26,0,0,1,1,0,0,1
strategy_27,0,0,1,1,0,1,0
strategy_28,0,0,1,1,0,1,1
strategy_29,0,0,1,1,1,0,0
strategy_30,0,0,1,1,1,0,1
strategy_31,0,0,1,1,1,1,0
strategy_32,0,0,1,1,1,1,1
strategy_33,0,1,0,0,0,0,0
strategy_34,0,1,0,0,0,0,1
strategy_35,0,1,0,0,0,1,0
strategy_36,0,1,0,0,0,1,1
strategy_37,0,1,0,0,1,0,0
strategy_38,0,1,0,0,1,0,1
strategy_39,0,1,0,0,1,1,0
strategy_40,0,1,0,0,1,1,1
strategy_41,0,1,0,1,0,0,0
strategy_42,0,1,0,1,0,0,1
strategy_43,0,1,0,1,0,1,0
strategy_44,0,1,0,1,0,1,1
strategy_45,0,1,0,1,1,0,0
strategy_46,0,1,0,1,1,0,1
strategy_47,0,1,0,1,1,1,0
strategy_48,0,1,0,1,1,1,1
strategy_49,0,1,1,0,0,0,0
strategy_50,0,1,1,0,0,0,1
strategy_51,0,1,1,0,0,1,0
strategy_52,0,1,1,0,0,1,1
strategy_53,0,1,1,0,1,0,0
strategy_54,0,1,1,0,1,0,1
strategy_55,0,1,1,0,1,1,0
strategy_56,0,1,1,0,1,1,1
strategy_57,0,1,1,1,0,0,0
strategy_58,0,1,1,1,0,0,1
strategy_59,0,1,1,1,0,1,0
strategy_60,0,1,1,1,0,1,1
strategy_61,0,1,1,1,1,0,0
strategy_62,0,1,1,1,1,0,1
strategy_63,0,1,1,1,1,1,0
strategy_64,0,1,1,1,1,1,1
strategy_65,1,0,0,0,0,0,0
strategy_66,1,0,0,0,0,0,1
strategy_67,1,0,0,0,0,1,0
strategy_68,1,0,0,0,0,1,1
strategy_69,1,0,0,0,1,0,0
strategy_70,1,0,0,0,1,0,1
strategy_71,1,0,0,0,1,1,0
strategy_72,1,0,0,0,1,1,1
strategy_73,1,0,0,1,0,0,0
strategy_74,1,0,0,1,0,0,1
strategy_75,1,0,0,1,0,1,0
strategy_76,1,0,0,1,0,1,1
strategy_77,1,0,0,1,1,0,0
strategy_78,1,0,0,1,1,0,1
strategy_79,1,0,0,1,1,1,0
strategy_80,1,0,0,1,1,1,1
strategy_81,1,0,1,0,0,0,0
strategy_82,1,0,1,0,0,0,1
strategy_83,1,0,1,0,0,1,0
strategy_84,1,0,1,0,0,1,1
strategy_85,1,0,1,0,1,0,0
strategy_86,1,0,1,0,1,0,1
strategy_87,1,0,1,0,1,1,0
strategy_88,1,0,1,0,1,1,1
strategy_89,1,0,1,1,0,0,0
strategy_90,1,0,1,1,0,0,1
strategy_91,1,0,1,1,0,1,0
strategy_92,1,0,1,1,0,1,1
strategy_93,1,0,1,1,1,0,0
strategy_94,1,0,1,1,1,0,1
strategy_95,1,0,1,1,1,1,0
strategy_96,1,0,1,1,1,1,1
strategy_97,1,1,0,0,0,0,0
strategy_98,1,1,0,0,0,0,1
strategy_99,1,1,0,0,0,1,0
strategy_100,1,1,0,0,0,1,1
strategy_101,1,1,0,0,1,0,0
strategy_102,1,1,0,0,1,0,1
strategy_103,1,1,0,0,1,1,0
strategy_104,1,1,0,0,1,1,1
strategy_105,1,1,0,1,0,0,0
strategy_106,1,1,0,1,0,0,1
strategy_107,1,1,0,1,0,1,0
strategy_108,1,1,0,1,0,1,1
strategy_109,1,1,0,1,1,0,0
strategy_110,1,1,0,1,1,0,1
strategy_111,1,1,0,1,1,1,0
strategy_112,1,1,0,1,1,1,1
strategy_113,1,1,1,0,0,0,0
strategy_114,1,1,1,0,0,0,1
strategy_115,1,1,1,0,0,1,0
strategy_116,1,1,1,0,0,1,1
strategy_117,1,1,1,0,1,0,0
strategy_118,1,1,1,0,1,0,1
strategy_119,1,1,1,0,1,1,0
strategy_120,1,1,1,0,1,1,1
strategy_121,1,1,1,1,0,0,0
strategy_122,1,1,1,1,0,0,1
strategy_123,1,1,1,1,0,1,0
strategy_124,1,1,1,1,0,1,1
strategy_125,1,1,1,1,1,0,0
strategy_126,1,1,1,1,1,0,1
strategy_127,1,1,1,1,1,1,0
strategy_128,1,1,1,1,1,1,1
